SECURITY_ID,INSTRUMENT,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE
40731,OPTIDX,NIFTY,NIFTY-Aug2026-19200-CE,NIFTY 11 AUG 19200 CALL,65.0,2026-08-11,19200.0,CE
40732,OPTIDX,NIFTY,NIFTY-Aug2026-19200-PE,NIFTY 11 AUG 19200 PUT,65.0,2026-08-11,19200.0,PE
40733,OPTIDX,NIFTY,NIFTY-Aug2026-19250-CE,NIFTY 11 AUG 19250 CALL,65.0,2026-08-11,19250.0,CE
40734,OPTIDX,NIFTY,NIFTY-Aug2026-19250-PE,NIFTY 11 AUG 19250 PUT,65.0,2026-08-11,19250.0,PE
40735,OPTIDX,NIFTY,NIFTY-Aug2026-19300-CE,NIFTY 11 AUG 19300 CALL,65.0,2026-08-11,19300.0,CE
40736,OPTIDX,NIFTY,NIFTY-Aug2026-19300-PE,NIFTY 11 AUG 19300 PUT,65.0,2026-08-11,19300.0,PE
40737,OPTIDX,NIFTY,NIFTY-Aug2026-19350-CE,NIFTY 11 AUG 19350 CALL,65.0,2026-08-11,19350.0,CE
40738,OPTIDX,NIFTY,NIFTY-Aug2026-19350-PE,NIFTY 11 AUG 19350 PUT,65.0,2026-08-11,19350.0,PE
40739,OPTIDX,NIFTY,NIFTY-Aug2026-19400-CE,NIFTY 11 AUG 19400 CALL,65.0,2026-08-11,19400.0,CE
40740,OPTIDX,NIFTY,NIFTY-Aug2026-19400-PE,NIFTY 11 AUG 19400 PUT,65.0,2026-08-11,19400.0,PE
40741,OPTIDX,NIFTY,NIFTY-Aug2026-19450-CE,NIFTY 11 AUG 19450 CALL,65.0,2026-08-11,19450.0,CE
40742,OPTIDX,NIFTY,NIFTY-Aug2026-19450-PE,NIFTY 11 AUG 19450 PUT,65.0,2026-08-11,19450.0,PE
40743,OPTIDX,NIFTY,NIFTY-Aug2026-19500-CE,NIFTY 11 AUG 19500 CALL,65.0,2026-08-11,19500.0,CE
40745,OPTIDX,NIFTY,NIFTY-Aug2026-19500-PE,NIFTY 11 AUG 19500 PUT,65.0,2026-08-11,19500.0,PE
40747,OPTIDX,NIFTY,NIFTY-Aug2026-19550-CE,NIFTY 11 AUG 19550 CALL,65.0,2026-08-11,19550.0,CE
40748,OPTIDX,NIFTY,NIFTY-Aug2026-19550-PE,NIFTY 11 AUG 19550 PUT,65.0,2026-08-11,19550.0,PE
40749,OPTIDX,NIFTY,NIFTY-Aug2026-19600-CE,NIFTY 11 AUG 19600 CALL,65.0,2026-08-11,19600.0,CE
40750,OPTIDX,NIFTY,NIFTY-Aug2026-19600-PE,NIFTY 11 AUG 19600 PUT,65.0,2026-08-11,19600.0,PE
40751,OPTIDX,NIFTY,NIFTY-Aug2026-19650-CE,NIFTY 11 AUG 19650 CALL,65.0,2026-08-11,19650.0,CE
40752,OPTIDX,NIFTY,NIFTY-Aug2026-19650-PE,NIFTY 11 AUG 19650 PUT,65.0,2026-08-11,19650.0,PE
40753,OPTIDX,NIFTY,NIFTY-Aug2026-19700-CE,NIFTY 11 AUG 19700 CALL,65.0,2026-08-11,19700.0,CE
40754,OPTIDX,NIFTY,NIFTY-Aug2026-19700-PE,NIFTY 11 AUG 19700 PUT,65.0,2026-08-11,19700.0,PE
40755,OPTIDX,NIFTY,NIFTY-Aug2026-19750-CE,NIFTY 11 AUG 19750 CALL,65.0,2026-08-11,19750.0,CE
40758,OPTIDX,NIFTY,NIFTY-Aug2026-19750-PE,NIFTY 11 AUG 19750 PUT,65.0,2026-08-11,19750.0,PE
40759,OPTIDX,NIFTY,NIFTY-Aug2026-19800-CE,NIFTY 11 AUG 19800 CALL,65.0,2026-08-11,19800.0,CE
40760,OPTIDX,NIFTY,NIFTY-Aug2026-19800-PE,NIFTY 11 AUG 19800 PUT,65.0,2026-08-11,19800.0,PE
40761,OPTIDX,NIFTY,NIFTY-Aug2026-19850-CE,NIFTY 11 AUG 19850 CALL,65.0,2026-08-11,19850.0,CE
40762,OPTIDX,NIFTY,NIFTY-Aug2026-19850-PE,NIFTY 11 AUG 19850 PUT,65.0,2026-08-11,19850.0,PE
40763,OPTIDX,NIFTY,NIFTY-Aug2026-19900-CE,NIFTY 11 AUG 19900 CALL,65.0,2026-08-11,19900.0,CE
40764,OPTIDX,NIFTY,NIFTY-Aug2026-19900-PE,NIFTY 11 AUG 19900 PUT,65.0,2026-08-11,19900.0,PE
40765,OPTIDX,NIFTY,NIFTY-Aug2026-19950-CE,NIFTY 11 AUG 19950 CALL,65.0,2026-08-11,19950.0,CE
40766,OPTIDX,NIFTY,NIFTY-Aug2026-19950-PE,NIFTY 11 AUG 19950 PUT,65.0,2026-08-11,19950.0,PE
40767,OPTIDX,NIFTY,NIFTY-Aug2026-20000-CE,NIFTY 11 AUG 20000 CALL,65.0,2026-08-11,20000.0,CE
40768,OPTIDX,NIFTY,NIFTY-Aug2026-20000-PE,NIFTY 11 AUG 20000 PUT,65.0,2026-08-11,20000.0,PE
40769,OPTIDX,NIFTY,NIFTY-Aug2026-20050-CE,NIFTY 11 AUG 20050 CALL,65.0,2026-08-11,20050.0,CE
40770,OPTIDX,NIFTY,NIFTY-Aug2026-20050-PE,NIFTY 11 AUG 20050 PUT,65.0,2026-08-11,20050.0,PE
40771,OPTIDX,NIFTY,NIFTY-Aug2026-20100-CE,NIFTY 11 AUG 20100 CALL,65.0,2026-08-11,20100.0,CE
40772,OPTIDX,NIFTY,NIFTY-Aug2026-20100-PE,NIFTY 11 AUG 20100 PUT,65.0,2026-08-11,20100.0,PE
40773,OPTIDX,NIFTY,NIFTY-Aug2026-20150-CE,NIFTY 11 AUG 20150 CALL,65.0,2026-08-11,20150.0,CE
40774,OPTIDX,NIFTY,NIFTY-Aug2026-20150-PE,NIFTY 11 AUG 20150 PUT,65.0,2026-08-11,20150.0,PE
40775,OPTIDX,NIFTY,NIFTY-Aug2026-20200-CE,NIFTY 11 AUG 20200 CALL,65.0,2026-08-11,20200.0,CE
40776,OPTIDX,NIFTY,NIFTY-Aug2026-20200-PE,NIFTY 11 AUG 20200 PUT,65.0,2026-08-11,20200.0,PE
40777,OPTIDX,NIFTY,NIFTY-Aug2026-20250-CE,NIFTY 11 AUG 20250 CALL,65.0,2026-08-11,20250.0,CE
40778,OPTIDX,NIFTY,NIFTY-Aug2026-20250-PE,NIFTY 11 AUG 20250 PUT,65.0,2026-08-11,20250.0,PE
40779,OPTIDX,NIFTY,NIFTY-Aug2026-20300-CE,NIFTY 11 AUG 20300 CALL,65.0,2026-08-11,20300.0,CE
